discipline,adjective,count
Transcripts_Science,verschieden,14
Transcripts_Science,eigen,14
Transcripts_Science,schuld,13
Transcripts_Science,schnell,13
Transcripts_Technology,natürlich,58
Transcripts_Technology,gut,46
Transcripts_Technology,groß,43
Transcripts_Technology,digital,43
Transcripts_Technology,ganz,33
Transcripts_Technology,wichtig,26
Transcripts_Technology,schnell,23
Transcripts_Technology,klein,21
Transcripts_Technology,nah,19
Transcripts_Technology,weit,18
Transcripts_Technology,klar,17
Transcripts_Technology,virtuell,17
Transcripts_Technology,richtig,16
Transcripts_Technology,tatsächlich,15
Transcripts_Technology,erst,15
Transcripts_Technology,schön,14
Transcripts_Technology,echt,14
Transcripts_Technology,perfekt,14
Transcripts_Technology,wahnsinnig,13
Transcripts_Technology,genau,13
